avgSessionDuration,shortSessionRatio,reopenCount,interSessionGap,dailyTotalTime,sessionsPerDay,nightCount,trend,label,source,weight
49.06,0.745,10,183.37,92.74,11,2,15.64,Normal,synthetic,1.0
23.27,0.07,0,86.61,117.3,6,1,-12.57,Normal,synthetic,1.0
36.01,0.708,10,126.04,150.95,9,4,33.03,Frustrated,synthetic,1.0
50.16,0.586,2,138.91,109.9,2,2,-6.78,Normal,synthetic,1.0
10.0,0.452,0,85.05,110.63,2,3,-6.97,Normal,synthetic,1.0
31.81,0.088,0,87.94,338.39,1,2,37.19,Addicted,synthetic,1.0
50.1,0.564,3,5.0,139.21,3,3,6.6,Frustrated,synthetic,1.0
43.27,0.405,3,48.18,95.86,8,2,4.06,Normal,synthetic,1.0
28.94,0.413,2,45.16,175.25,3,1,-7.04,Frustrated,synthetic,1.0
35.0,0.556,1,59.21,199.57,1,4,22.91,Frustrated,synthetic,1.0
45.87,0.307,0,130.65,65.25,3,0,-17.96,Normal,synthetic,1.0
48.88,0.051,2,123.26,364.48,8,2,99.56,Addicted,synthetic,1.0
78.75,0.429,3,35.73,142.86,1,1,4.28,Frustrated,synthetic,1.0
52.18,0.788,7,201.29,96.2,8,0,21.68,Frustrated,synthetic,1.0
17.67,0.685,6,88.28,92.21,9,2,-25.88,Normal,synthetic,1.0
10.0,0.326,0,170.89,192.72,2,0,-14.33,Normal,synthetic,1.0
57.65,0.452,5,117.12,310.36,12,0,28.73,Addicted,synthetic,1.0
40.03,0.397,2,55.81,122.18,7,2,-2.2,Normal,synthetic,1.0
30.96,0.351,8,200.03,296.67,13,2,-2.38,Frustrated,synthetic,1.0
18.23,0.302,2,140.46,108.21,4,3,-10.41,Frustrated,synthetic,1.0
51.49,0.38,3,173.49,108.32,4,2,52.32,Frustrated,synthetic,1.0
47.22,0.394,1,142.67,122.75,4,1,-10.93,Normal,synthetic,1.0
23.57,0.499,8,5.0,30.0,11,0,53.01,Frustrated,synthetic,1.0
52.34,0.052,1,128.66,234.97,11,3,1.71,Normal,synthetic,1.0
38.44,0.542,6,75.27,44.26,5,1,48.78,Frustrated,synthetic,1.0
35.56,0.126,1,87.45,296.28,5,3,3.87,Addicted,synthetic,1.0
32.97,0.479,9,35.94,121.33,14,2,-1.12,Frustrated,synthetic,1.0
10.0,0.274,4,105.32,30.0,8,1,24.53,Normal,synthetic,1.0
22.09,0.624,6,122.8,79.08,6,4,28.55,Frustrated,synthetic,1.0
10.0,0.075,0,175.53,30.0,3,0,-14.92,Normal,synthetic,1.0
25.73,0.05,0,176.59,138.38,4,3,12.8,Normal,synthetic,1.0
24.49,0.314,5,142.72,94.9,10,3,1.41,Frustrated,synthetic,1.0
15.9,0.35,3,241.61,64.95,9,3,49.13,Normal,synthetic,1.0
23.46,0.658,11,5.0,30.0,14,1,-13.83,Frustrated,synthetic,1.0
10.0,0.386,4,111.91,194.57,10,3,32.89,Frustrated,synthetic,1.0
48.18,0.152,1,103.72,130.36,3,1,17.29,Normal,synthetic,1.0
60.03,0.425,5,24.52,299.33,11,1,11.4,Addicted,synthetic,1.0
51.56,0.182,3,29.88,188.25,12,3,27.73,Addicted,synthetic,1.0
88.86,0.584,5,39.65,170.76,10,1,34.65,Addicted,synthetic,1.0
53.34,0.815,12,160.96,82.05,14,1,57.65,Frustrated,synthetic,1.0
33.38,0.53,1,74.72,86.16,3,2,4.8,Addicted,synthetic,1.0
53.15,0.259,3,82.54,301.4,5,3,-23.83,Frustrated,synthetic,1.0
76.84,0.305,3,132.65,251.81,11,0,53.5,Addicted,synthetic,1.0
24.92,0.341,2,102.89,308.29,1,0,42.79,Addicted,synthetic,1.0
27.31,0.025,2,5.0,365.18,4,1,112.96,Addicted,synthetic,1.0
18.97,0.502,4,80.68,101.7,3,1,-27.78,Frustrated,synthetic,1.0
10.0,0.302,3,215.65,214.32,6,1,53.23,Normal,synthetic,1.0
28.68,0.398,3,131.07,127.08,4,2,6.44,Normal,synthetic,1.0
