avgSessionDuration,shortSessionRatio,reopenCount,interSessionGap,dailyTotalTime,sessionsPerDay,nightCount,trend,label,source,weight,intensityScore,frustrationScore
52.13,0.258,3.0,166.04,128.33,8.0,4.0,-9.31,Normal,synthetic,1.0,47.72500000000001,0.1977455399279603
26.13,0.351,4.0,120.89,88.77,12.0,2.0,13.6,Normal,synthetic,1.0,34.286,0.3081988490547768
37.83,0.998,9.0,46.72,52.39,6.0,2.0,45.19,Frustrated,synthetic,1.0,41.167,0.6510103162529419
46.76,0.402,4.0,226.78,134.76,9.0,2.0,14.44,Normal,synthetic,1.0,51.988,0.22919842653001266
51.65,0.271,5.0,125.24,150.0,17.0,1.0,3.7,Normal,synthetic,1.0,52.769999999999996,0.20003479743802785
80.41,0.083,1.0,39.73,500.0,18.0,1.0,58.79,Addicted,synthetic,1.0,150.801,0.13326486021703993
48.08,0.689,11.0,15.4,196.44,13.0,5.0,15.77,Frustrated,synthetic,1.0,68.251,0.6475732965663623
24.36,0.164,1.0,101.46,49.2,6.0,4.0,41.46,Normal,synthetic,1.0,36.022000000000006,0.2509147036839842
32.96,0.611,7.0,4.3,56.21,5.0,4.0,-2.35,Frustrated,synthetic,1.0,27.721000000000004,1.9196227842849989
18.76,0.506,13.0,39.1,178.94,18.0,2.0,3.07,Frustrated,synthetic,1.0,46.21300000000001,0.5237207455316696
34.49,0.073,1.0,96.59,126.19,12.0,0.0,-0.46,Normal,synthetic,1.0,38.896,0.18439115289087177
106.68,0.012,0.0,12.63,500.0,11.0,4.0,60.54,Addicted,synthetic,1.0,164.834,0.2926447577953833
11.29,0.993,5.0,73.44,24.34,5.0,5.0,-5.47,Frustrated,synthetic,1.0,12.743,0.8639302706214382
38.71,0.365,2.0,9.66,49.91,3.0,4.0,1.56,Frustrated,synthetic,1.0,29.934,0.9747768856312237
43.71,0.308,2.0,68.04,41.8,4.0,5.0,33.24,Normal,synthetic,1.0,40.816,0.29975926948486287
15.69,0.401,0.0,166.78,10.0,2.0,3.0,14.3,Normal,synthetic,1.0,15.565999999999999,0.3804028255026388
66.69,0.294,4.0,49.78,500.0,15.0,4.0,125.1,Addicted,synthetic,1.0,168.206,0.15246521256126755
25.45,0.239,2.0,241.7,108.72,10.0,1.0,-12.43,Normal,synthetic,1.0,29.195,0.24184024247144467
41.18,0.897,11.0,75.76,167.38,8.0,1.0,16.77,Frustrated,synthetic,1.0,55.979,0.5023126855132901
40.5,0.682,11.0,26.49,250.0,13.0,5.0,-20.52,Frustrated,synthetic,1.0,65.044,0.51864778026132
18.91,0.95,13.0,52.39,47.84,12.0,0.0,40.56,Frustrated,synthetic,1.0,29.3,0.7120688793523933
50.51,0.252,3.0,70.07,150.0,8.0,3.0,33.33,Normal,synthetic,1.0,63.203,0.22868932362078198
49.82,0.435,7.0,19.41,206.32,7.0,0.0,19.61,Frustrated,synthetic,1.0,67.075,0.536235267746164
22.97,0.073,0.0,227.07,59.67,11.0,3.0,9.02,Normal,synthetic,1.0,26.828000000000003,0.1862928125623564
40.21,0.916,7.0,71.82,98.86,7.0,2.0,36.12,Frustrated,synthetic,1.0,48.692,0.49094015158858845
103.07,0.124,2.0,53.58,500.0,9.0,4.0,94.5,Addicted,synthetic,1.0,173.578,0.11150493241887062
28.48,0.616,4.0,41.16,27.54,3.0,5.0,5.59,Frustrated,synthetic,1.0,23.577,0.6380449931346173
39.36,0.294,4.0,278.87,150.0,12.0,3.0,-10.91,Normal,synthetic,1.0,45.471000000000004,0.20572991478565436
48.0,0.532,7.0,59.44,213.82,11.0,3.0,38.49,Frustrated,synthetic,1.0,76.51100000000001,0.31156849255026753
50.6,0.5,8.0,169.14,150.0,17.0,4.0,-2.18,Normal,synthetic,1.0,53.586,0.2605598134598022
24.67,0.196,3.0,239.39,77.03,17.0,3.0,-18.77,Normal,synthetic,1.0,22.643000000000004,0.24408757163944797
21.6,0.497,9.0,19.09,170.62,15.0,3.0,40.61,Frustrated,synthetic,1.0,57.947,0.6085593459097612
33.38,0.269,4.0,290.87,150.0,18.0,4.0,-1.42,Normal,synthetic,1.0,46.926,0.1952437317150628
21.56,0.557,5.0,47.25,17.49,2.0,5.0,6.21,Frustrated,synthetic,1.0,18.985,0.7671909769153282
28.73,0.4,5.0,21.13,98.08,10.0,5.0,-0.79,Frustrated,synthetic,1.0,35.871,0.6015475007523463
11.65,0.042,1.0,99.14,28.82,11.0,2.0,-0.94,Normal,synthetic,1.0,12.142,0.3989873517410856
105.26,0.027,0.0,40.24,229.63,2.0,2.0,48.93,Addicted,synthetic,1.0,104.709,0.14145765066145227
91.65,0.119,2.0,23.65,500.0,12.0,4.0,88.67,Addicted,synthetic,1.0,167.261,0.19504229070070292
125.95,0.174,2.0,23.63,500.0,6.0,3.0,134.26,Addicted,synthetic,1.0,193.65800000000002,0.18918614757306587
22.49,0.909,10.0,55.19,98.34,9.0,2.0,-2.16,Frustrated,synthetic,1.0,30.016000000000005,0.6663817050605242
52.25,0.238,4.0,3.63,500.0,18.0,3.0,66.48,Addicted,synthetic,1.0,143.844,0.9679753645251914
13.59,0.344,4.0,11.49,14.36,2.0,5.0,18.7,Frustrated,synthetic,1.0,18.918,1.2293072225408532
63.75,0.243,4.0,42.58,500.0,15.0,0.0,59.27,Addicted,synthetic,1.0,143.281,0.17522499423463964
78.84,0.155,1.0,18.01,354.07,5.0,1.0,92.91,Addicted,synthetic,1.0,131.223,0.2870486329710816
79.28,0.079,1.0,1.72,500.0,15.0,3.0,126.1,Addicted,synthetic,1.0,172.542,1.3819690904884465
41.55,0.562,11.0,39.63,162.47,15.0,3.0,11.29,Frustrated,synthetic,1.0,55.501000000000005,0.4336503331508542
36.01,0.106,1.0,173.13,20.5,2.0,5.0,-29.38,Normal,synthetic,1.0,14.690000000000001,0.23478413321575767
31.25,0.5,1.0,106.03,10.0,1.0,2.0,-14.57,Normal,synthetic,1.0,12.129000000000001,0.43919303289955774
30.84,0.492,3.0,158.21,75.7,5.0,1.0,25.1,Normal,synthetic,1.0,36.006,0.3386896649380662
33.91,0.392,3.0,32.73,112.88,6.0,5.0,29.27,Frustrated,synthetic,1.0,49.921,0.4228671224057475
11.41,0.648,12.0,34.99,85.07,17.0,4.0,-13.21,Frustrated,synthetic,1.0,21.615,0.7896303927557654
45.87,0.5,8.0,290.17,150.0,17.0,2.0,24.47,Normal,synthetic,1.0,57.689,0.2432481168396502
84.07,0.178,0.0,31.28,297.69,4.0,3.0,84.92,Addicted,synthetic,1.0,121.642,0.1890929717020283
29.33,0.223,1.0,262.46,57.39,4.0,2.0,-10.4,Normal,synthetic,1.0,22.09,0.23580068022536863
10.22,0.179,2.0,179.07,33.24,10.0,2.0,26.27,Normal,synthetic,1.0,20.617,0.42369967271508546
54.06,0.231,1.0,212.72,36.14,2.0,1.0,25.63,Normal,synthetic,1.0,37.541000000000004,0.19409112903331124
41.02,0.5,3.0,226.57,43.41,4.0,3.0,-11.72,Normal,synthetic,1.0,24.574,0.34849590486739956
10.57,0.746,17.0,42.53,103.88,19.0,1.0,-13.36,Frustrated,synthetic,1.0,21.996000000000002,0.8250666573921891
11.57,0.842,15.0,3.38,47.0,14.0,1.0,15.05,Frustrated,synthetic,1.0,19.543,2.589882303561799
32.8,0.765,12.0,78.42,187.05,11.0,5.0,5.7,Frustrated,synthetic,1.0,57.24,0.4528148458162121
28.83,0.395,1.0,282.83,49.26,4.0,4.0,-26.43,Normal,synthetic,1.0,17.455000000000002,0.2959223125174738
33.0,1.0,5.0,58.35,29.13,2.0,3.0,-8.51,Frustrated,synthetic,1.0,19.473000000000003,0.8114573073305457
15.14,0.166,0.0,123.83,19.56,3.0,2.0,32.11,Normal,synthetic,1.0,21.601,0.3174648422026006
21.74,0.614,5.0,53.79,58.91,8.0,2.0,-1.76,Frustrated,synthetic,1.0,21.95,0.5612362966511383
51.02,0.257,1.0,122.34,105.04,5.0,3.0,-12.57,Normal,synthetic,1.0,40.645,0.19997407258644595
79.32,0.069,0.0,31.09,500.0,6.0,3.0,53.08,Addicted,synthetic,1.0,150.652,0.15382855734396286
11.84,0.629,2.0,46.25,10.0,2.0,3.0,29.56,Frustrated,synthetic,1.0,18.604,0.739140353381272
78.68,0.2,2.0,50.49,500.0,15.0,4.0,92.36,Addicted,synthetic,1.0,163.18,0.12896621006661801
55.11,0.126,1.0,205.74,150.0,9.0,1.0,29.8,Normal,synthetic,1.0,61.984,0.11344236073725067
37.17,0.808,5.0,16.18,24.83,3.0,3.0,-20.62,Frustrated,synthetic,1.0,16.648000000000003,1.0455957393658888
22.98,0.468,8.0,46.7,81.78,15.0,2.0,33.46,Frustrated,synthetic,1.0,37.586,0.46534478599773843
